name,sex,id,phone,age,balance
Auguste,male,1668,207998865,43,44955
Tari,female,1778,606832371,39,21063
Brande,female,8189,401274675,49,31176
Hughey,male,3374,173397902,25,38207
Philo,male,9191,136021395,26,41511
York,male,7126,950595916,16,6242
Carlyn,female,2723,629316399,46,258
Diallo,male,1864,644636367,53,-807
Ailene,female,4703,324062795,38,1292
Shardae,female,2065,593491852,38,45976
Daneen,female,1971,661639771,48,-1945
Kalene,female,3445,904400507,36,40438
Berlin,male,4600,207276549,49,26011
Miesha,female,7337,444299325,23,21601
Melissia,female,2603,627987063,26,24913
Yamilex,female,1665,862651356,54,16034
Chrissie,female,8341,538626889,47,25916
Wendel,male,9146,755469526,58,30549
